#PicoSessionID,PicoSessionLogID,LogDate,WortTemp,ThermoBlockTemp,Event,ErrorCode,ShuttleScaler
86561,27419086,3/21/2019 8:52:58 PM,225,268,NULL,0,0.2
86561,27419096,3/21/2019 8:53:23 PM,218,259,NULL,0,0.2
86561,27419106,3/21/2019 8:53:49 PM,212,250,NULL,0,0.2
86561,27419116,3/21/2019 8:54:14 PM,215,250,NULL,0,0.2
86561,27419126,3/21/2019 8:54:39 PM,215,246,NULL,0,0.2
86561,27419136,3/21/2019 8:55:04 PM,213,240,NULL,0,0.2
86561,27419145,3/21/2019 8:55:30 PM,217,233,NULL,0,0.2
86561,27419156,3/21/2019 8:55:55 PM,214,229,NULL,0,0.2
86561,27419167,3/21/2019 8:56:20 PM,218,223,NULL,0,0.2
86561,27419171,3/21/2019 8:56:34 PM,217,221,Hops 1,0,0.2
86561,27419177,3/21/2019 8:56:46 PM,166,223,NULL,0,0.2
86561,27419187,3/21/2019 8:57:11 PM,187,288,NULL,0,0.2
86561,27419196,3/21/2019 8:57:37 PM,186,344,NULL,0,0.2
86561,27419205,3/21/2019 8:58:02 PM,188,341,NULL,0,0.2
86561,27419214,3/21/2019 8:58:27 PM,191,340,NULL,0,0.2
86561,27419223,3/21/2019 8:58:52 PM,193,337,NULL,0,0.2
86561,27419232,3/21/2019 8:59:17 PM,195,338,NULL,0,0.2
86561,27419241,3/21/2019 8:59:43 PM,196,334,NULL,0,0.2
86561,27419250,3/21/2019 9:00:08 PM,196,340,NULL,0,0.2
86561,27419259,3/21/2019 9:00:33 PM,198,340,NULL,0,0.2
86561,27419268,3/21/2019 9:00:59 PM,200,335,NULL,0,0.2
86561,27419277,3/21/2019 9:01:24 PM,201,340,NULL,0,0.2
86561,27419286,3/21/2019 9:01:51 PM,200,341,NULL,0,0.2
86561,27419295,3/21/2019 9:02:16 PM,201,340,NULL,0,0.2
86561,27419304,3/21/2019 9:02:42 PM,202,342,NULL,0,0.2
86561,27419313,3/21/2019 9:03:07 PM,201,340,NULL,0,0.2
86561,27419322,3/21/2019 9:03:32 PM,204,337,NULL,0,0.2
86561,27419331,3/21/2019 9:03:57 PM,204,336,NULL,0,0.2
86561,27419341,3/21/2019 9:04:23 PM,204,340,NULL,0,0.2
86561,27419350,3/21/2019 9:04:48 PM,203,340,NULL,0,0.2
86561,27419360,3/21/2019 9:05:13 PM,204,339,NULL,0,0.2
86561,27419369,3/21/2019 9:05:38 PM,203,341,NULL,0,0.2
86561,27419379,3/21/2019 9:06:04 PM,204,342,NULL,0,0.2
86561,27419387,3/21/2019 9:06:29 PM,203,343,NULL,0,0.2
86561,27419395,3/21/2019 9:06:54 PM,203,339,NULL,0,0.2
86561,27419404,3/21/2019 9:07:19 PM,203,341,NULL,0,0.2
86561,27419415,3/21/2019 9:07:45 PM,203,339,NULL,0,0.2
86561,27419426,3/21/2019 9:08:10 PM,202,341,NULL,0,0.2
86561,27419435,3/21/2019 9:08:35 PM,202,340,NULL,0,0.2
86561,27419442,3/21/2019 9:09:01 PM,203,340,NULL,0,0.2
86561,27419450,3/21/2019 9:09:26 PM,202,340,NULL,0,0.2
86561,27419457,3/21/2019 9:09:51 PM,204,340,NULL,0,0.2
86561,27419465,3/21/2019 9:10:16 PM,202,338,NULL,0,0.2
86561,27419472,3/21/2019 9:10:41 PM,201,337,NULL,0,0.2
86561,27419479,3/21/2019 9:11:07 PM,204,342,NULL,0,0.2
86561,27419486,3/21/2019 9:11:32 PM,202,335,NULL,0,0.2
86561,27419492,3/21/2019 9:11:57 PM,203,336,NULL,0,0.2
86561,27419499,3/21/2019 9:12:23 PM,200,340,NULL,0,0.2
86561,27419505,3/21/2019 9:12:48 PM,202,336,NULL,0,0.2
86561,27419511,3/21/2019 9:13:13 PM,205,339,NULL,0,0.2
86561,27419517,3/21/2019 9:13:38 PM,202,339,NULL,0,0.2
86561,27419524,3/21/2019 9:14:03 PM,204,336,NULL,0,0.2
86561,27419530,3/21/2019 9:14:28 PM,200,337,NULL,0,0.2
86561,27419536,3/21/2019 9:14:54 PM,205,339,NULL,0,0.2
86561,27419542,3/21/2019 9:15:19 PM,200,336,NULL,0,0.2
86561,27419548,3/21/2019 9:15:44 PM,202,336,NULL,0,0.2
86561,27419554,3/21/2019 9:16:09 PM,201,340,NULL,0,0.2
86561,27419560,3/21/2019 9:16:35 PM,201,343,NULL,0,0.2
